Date,Close,High,Low,Open,Volume
2017-01-20,2440.37939453125,2444.380016489498,2408.3744188652663,2440.37939453125,44242500
2017-01-23,2408.3740234375,2448.380236451412,2408.3740234375,2432.3777512458473,21962000
2017-01-24,2408.3740234375,2440.3789938486298,2408.3740234375,2432.3777512458473,36251000
2017-01-25,2392.3720703125,2444.3801587975545,2392.3720703125,2444.3801587975545,33161500
2017-01-26,2448.380615234375,2468.383724835963,2400.373152190564,2400.373152190564,53606000
2017-01-27,2464.3828125,2488.386541193182,2424.376598011364,2424.376598011364,37555500
2017-01-30,2472.38427734375,2492.387386383748,2452.381168303752,2492.387386383748,33673000
2017-01-31,2448.380615234375,2488.386834437551,2440.37937139374,2448.380615234375,36946500
2017-02-01,2468.3837890625,2480.3856551357376,2468.3837890625,2480.3856551357376,43359000
2017-02-02,2472.38427734375,2476.3848991517493,2444.379924687753,2452.381168303752,61584000
2017-02-03,2476.385009765625,2480.3856317523223,2468.3837657922304,2472.3843877789277,44754000
2017-02-06,2496.38818359375,2508.390049861028,2480.38569523738,2492.3875615046577,63275000
2017-02-07,2500.388916015625,2500.388916015625,2468.383937890625,2468.383937890625,47873500
2017-02-08,2496.38818359375,2504.389427771935,2484.386317326472,2500.3888056828428,73968000
2017-02-09,2500.388916015625,2504.38953828125,2496.3882937500002,2496.3882937500002,134806500
2017-02-10,2400.373291015625,2512.390711263021,2400.373291015625,2500.3888448079424,82921000
2017-02-13,2484.38623046875,2504.389340214875,2456.3818768241745,2480.385608519525,98775500
2017-02-14,2480.385986328125,2488.3872314453124,2460.3828735351562,2472.3847412109376,68492000
2017-02-15,2480.385986328125,2480.385986328125,2480.385986328125,2480.385986328125,0
2017-02-16,2480.385986328125,2496.3884765625,2460.3828735351562,2496.3884765625,109934500
2017-02-17,2476.385009765625,2492.387497712414,2456.3818998321385,2472.3843877789277,54111500
2017-02-20,2472.38427734375,2496.3880081917473,2464.383033727751,2496.3880081917473,49225000
2017-02-21,2480.385986328125,2484.386608886719,2464.38349609375,2464.38349609375,47016500
2017-02-22,2480.385986328125,2492.3878540039063,2464.38349609375,2464.38349609375,47767500
2017-02-23,2480.385986328125,2492.3878540039063,2464.38349609375,2464.38349609375,81655500
2017-02-24,2480.385986328125,2496.3884765625,2480.385986328125,2484.386608886719,33280500
2017-02-27,2480.385986328125,2484.386608886719,2464.38349609375,2480.385986328125,28618000
2017-02-28,2472.38427734375,2488.386764575748,2464.383033727751,2480.385520959749,110184500
2017-03-01,2480.385986328125,2484.386608886719,2464.38349609375,2464.38349609375,102209000
2017-03-02,2480.385986328125,2508.390344238281,2476.385363769531,2504.3897216796877,78309500
2017-03-03,2476.385009765625,2488.386875725717,2468.3837657922304,2472.3843877789277,88454000
2017-03-06,2476.385009765625,2476.385009765625,2456.3818998321385,2464.383143805533,44661500
2017-03-07,2472.38427734375,2480.385520959749,2464.383033727751,2464.383033727751,52582000
2017-03-08,2480.385986328125,2484.386608886719,2472.3847412109376,2480.385986328125,87391500
2017-03-09,2500.388916015625,2512.3907828125,2480.3858046875002,2500.388916015625,47322000
2017-03-10,2500.388916015625,2512.3907828125,2476.385182421875,2512.3907828125,34386000
2017-03-13,2488.38720703125,2504.3896971086215,2476.3853394732214,2496.3884520699357,24933000
2017-03-14,2508.390380859375,2544.3959844123806,2504.3897582423747,2512.3910034763758,62225000
2017-03-15,2504.388916015625,2524.392022373577,2484.385809657673,2524.392022373577,70286000
2017-03-16,2540.39453125,2560.3976377952754,2528.3926673228343,2544.395152559055,186021500
2017-03-17,2552.397216796875,2592.403442765478,2540.395349006294,2560.3984619905955,223808500
2017-03-20,2572.400146484375,2596.4038803551466,2552.3970349253987,2576.4007687961703,191276500
2017-03-21,2600.404296875,2604.4049188701924,2584.4018088942307,2596.4036748798076,133231500
2017-03-22,2612.406005859375,2616.4066276141366,2568.3991665569965,2568.3991665569965,178821000
2017-03-23,2656.413330078125,2680.4170649884695,2620.4077277126084,2624.4083501976656,195774000
2017-03-24,2648.41162109375,2688.4178389350454,2632.409133957232,2688.4178389350454,86403000
2017-03-27,2648.41162109375,2660.4134864461384,2640.4103775254907,2648.41162109375,74524000
2017-03-29,2672.41455078125,2692.4176537062594,2660.412689026244,2668.413930196248,112645500
2017-03-30,2692.418212890625,2700.419455722395,2672.4151058111997,2692.418212890625,96488000
2017-03-31,2648.41162109375,2720.4228132080816,2648.41162109375,2692.4184607191746,81642500
2017-04-03,2652.412109375,2712.421433116516,2652.412109375,2652.412109375,186889000
2017-04-04,2680.41650390625,2704.4202337919774,2664.414017315765,2680.41650390625,74096500
2017-04-05,2680.41650390625,2680.41650390625,2680.41650390625,2680.41650390625,0
2017-04-06,2772.43115234375,2780.4323966506586,2752.4280415764792,2752.4280415764792,117034500
2017-04-07,2776.43115234375,2796.4342586286475,2752.4274248018733,2796.4342586286475,133337000
2017-04-10,2776.43115234375,2840.4410924554213,2760.428667315832,2820.4379861705243,79805500
